subject,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,1.01,1.57,0.703,1.239,1.02,0.75,0.971,0.572,1.287,0,0.389,0,0.437,0,0.573,0,0,0,0.63,0.73,0,0,0,0
2,0.938,0.718,0.535,1.132,0,0.498,0.95,0,0.488,0.46,0,0,0.265,0,0.205,0,0,0,0,0.376,0.268,0.573,0,0
3,1.095,1.206,0.923,1.208,0.837,0.462,0.413,0,0,0,0.363,0,0,0,0,0,0,0,0,0,0,0,1.672,0
4,1.167,1.321,0.459,1.078,0,0,0,0,0,0,0,0,0,0,0,0,0.657,0,0,0,0,0,0,0
5,0.244,0,2.293,1.385,1.055,0.26,0.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.815,0.643,0.196,0,0,0.613,0,0,0,0.312,0,0,0.503,0,0,0.637,0,0,0,0,0,0,0.241,0
9,0.999,1.04,0.701,0.326,0.219,0.857,0.674,0.736,0.404,0.654,0,0.502,0,0.338,0,0,0,0,0.37,0.354,0,0.213,0,0
10,0.595,0.587,0.445,0.245,0.741,0,0.308,0.529,0.325,0.492,0,0,0.277,0,0.302,0,0,0.695,0,0,0.477,0.683,0.297,0
12,0.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0.218,0.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413,0
17,0,0,0,0.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.761,0.381,1.799,0.367,0,0,0.621,0,0,0.787,0,0,0,0,0,0,0.527,0,0,0,0,0,0,0
24,3.791,2.973,2.853,2.003,1.487,0.73,0,0,0.35,0.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1.068,0.357,2.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1.034,0.822,0.762,0.874,0,0.354,0.889,0.508,0.401,0.646,0.296,0,0,0,0.776,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0.939,1.239,0,0.842,1.856,0,0,1.475,2.04,0,2.418,0,0.541,0,0,0,0,0,0,1.811,0.43,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0.273,0.289,0,0.251,0.413,0.253,0.396,0.209,0,0.205,0.277,0.561,0,0.563,0,0,0,0,0,0.282,0,0,0,0.244
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0.198,0.422,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0.253,0,0.21,0.205,0,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,,0,0.398,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0.276,1.103,0.708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,3.9,2.168,2.584,3.965,0,2.825,1.908,0,1.856,0,0.807,0,0,0,1.312,0,0,0,0,0,0,0.842,0,2.412
117,0.508,1.318,1.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0.793,2.706,0.976,1.036,0,0,0,0,0.338,2.87,0,0,0,0,0.497,0,0,0.604,0,0,0.303,0,0.193,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,1.255,1.48,1.304,0.392,1.425,1.242,0.811,1.066,1.019,0.672,1.187,0.418,0.955,0.576,0.308,0,0,0.869,1.004,0,0.384,0,0.755
122,1.629,0.939,1.53,0,0,0,1.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0.363,0,0,0.489,0,0,0,0,0,0.274,0,0,0,0,0,0,0,0,0,0,0,0,0
124,1.223,1.293,0.823,1.042,0.955,0.793,0.715,0,0,0,0,0.273,0,0,0,0.318,0,0,0,0,0,0,0,0
125,0.805,0,1.564,1.261,0,0,1.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0