subject,phase,trial,group,scr,condition,raw,half,quarter
17,renewal,9,control,0,CS+,0,2,6
17,renewal,10,control,0,CS+,0,2,6
17,renewal,11,control,0,CS+,0,2,6
17,renewal,12,control,0,CS+,0,2,6
17,renewal,1,control,0,CS-,0,1,5
17,renewal,2,control,0,CS-,0,1,5
17,renewal,3,control,0,CS-,0,1,5
17,renewal,4,control,0,CS-,0,1,5
17,renewal,5,control,0,CS-,0,2,6
17,renewal,6,control,0,CS-,0,2,6
17,renewal,7,control,0,CS-,0,2,6
17,renewal,8,control,0,CS-,0,2,6
17,renewal,9,control,0,CS-,0,2,6
17,renewal,10,control,0,CS-,0,2,6
17,renewal,11,control,0,CS-,0,2,6
17,renewal,12,control,0,CS-,0,2,6
18,renewal,1,control,0,CS+,0,1,5
18,renewal,2,control,0,CS+,0,1,5
18,renewal,3,control,0,CS+,0,1,5
18,renewal,4,control,0,CS+,0,1,5
18,renewal,5,control,0,CS+,0,2,6
18,renewal,6,control,0,CS+,0,2,6
18,renewal,7,control,0,CS+,0,2,6
18,renewal,8,control,0,CS+,0,2,6
18,renewal,9,control,0,CS+,0,2,6
18,renewal,10,control,0,CS+,0,2,6
18,renewal,11,control,0,CS+,0,2,6
18,renewal,12,control,0,CS+,0,2,6
18,renewal,1,control,0,CS-,0,1,5
18,renewal,2,control,0,CS-,0,1,5
18,renewal,3,control,0,CS-,0,1,5
18,renewal,4,control,0,CS-,0,1,5
18,renewal,5,control,0,CS-,0,2,6
18,renewal,6,control,0,CS-,0,2,6
18,renewal,7,control,0,CS-,0,2,6
18,renewal,8,control,0,CS-,0,2,6
18,renewal,9,control,0,CS-,0,2,6
18,renewal,10,control,0,CS-,0,2,6
18,renewal,11,control,0,CS-,0,2,6
18,renewal,12,control,0,CS-,0,2,6
19,renewal,1,control,0,CS+,0,1,5
19,renewal,2,control,0,CS+,0,1,5
19,renewal,3,control,0,CS+,0,1,5
19,renewal,4,control,0,CS+,0,1,5
19,renewal,5,control,0,CS+,0,2,6
19,renewal,6,control,0,CS+,0,2,6
19,renewal,7,control,0,CS+,0,2,6
19,renewal,8,control,0,CS+,0,2,6
19,renewal,9,control,0,CS+,0,2,6
19,renewal,10,control,0,CS+,0,2,6
19,renewal,11,control,0,CS+,0,2,6
19,renewal,12,control,0,CS+,0,2,6
19,renewal,1,control,0,CS-,0,1,5
19,renewal,2,control,0,CS-,0,1,5
19,renewal,3,control,0,CS-,0,1,5
19,renewal,4,control,0,CS-,0,1,5
19,renewal,5,control,0,CS-,0,2,6
19,renewal,6,control,0,CS-,0,2,6
19,renewal,7,control,0,CS-,0,2,6
19,renewal,8,control,0,CS-,0,2,6
19,renewal,9,control,0,CS-,0,2,6
19,renewal,10,control,0,CS-,0,2,6
19,renewal,11,control,0,CS-,0,2,6
19,renewal,12,control,0,CS-,0,2,6
20,renewal,1,control,0,CS+,0,1,5
20,renewal,2,control,0,CS+,0,1,5
20,renewal,3,control,0,CS+,0,1,5
20,renewal,4,control,0,CS+,0,1,5
20,renewal,5,control,0,CS+,0,2,6
20,renewal,6,control,0,CS+,0,2,6
20,renewal,7,control,0,CS+,0,2,6
20,renewal,8,control,0,CS+,0,2,6
20,renewal,9,control,0,CS+,0,2,6
20,renewal,10,control,0,CS+,0,2,6
20,renewal,11,control,0,CS+,0,2,6
20,renewal,12,control,0,CS+,0,2,6
20,renewal,1,control,0,CS-,0,1,5
20,renewal,2,control,0,CS-,0,1,5
20,renewal,3,control,0,CS-,0,1,5
20,renewal,4,control,0,CS-,0,1,5
20,renewal,5,control,0,CS-,0,2,6
20,renewal,6,control,0,CS-,0,2,6
20,renewal,7,control,0,CS-,0,2,6
20,renewal,8,control,0,CS-,0,2,6
20,renewal,9,control,0,CS-,0,2,6
20,renewal,10,control,0,CS-,0,2,6
20,renewal,11,control,0,CS-,0,2,6
20,renewal,12,control,0,CS-,0,2,6
21,renewal,1,control,0,CS+,0,1,5
21,renewal,2,control,0,CS+,0,1,5
21,renewal,3,control,0,CS+,0,1,5
21,renewal,4,control,0,CS+,0,1,5
21,renewal,5,control,0,CS+,0,2,6
21,renewal,6,control,0,CS+,0,2,6
21,renewal,7,control,0,CS+,0,2,6
21,renewal,8,control,0,CS+,0,2,6
21,renewal,9,control,0,CS+,0,2,6
21,renewal,10,control,0,CS+,0,2,6
21,renewal,11,control,0,CS+,0,2,6
21,renewal,12,control,0,CS+,0,2,6
21,renewal,1,control,0,CS-,0,1,5
21,renewal,2,control,0,CS-,0,1,5
21,renewal,3,control,0,CS-,0,1,5
21,renewal,4,control,0,CS-,0,1,5
21,renewal,5,control,0,CS-,0,2,6
21,renewal,6,control,0,CS-,0,2,6
21,renewal,7,control,0,CS-,0,2,6
21,renewal,8,control,0,CS-,0,2,6
21,renewal,9,control,0,CS-,0,2,6
21,renewal,10,control,0,CS-,0,2,6
21,renewal,11,control,0,CS-,0,2,6
21,renewal,12,control,0,CS-,0,2,6
23,renewal,1,control,0.87235314,CS+,0.761,1,5
23,renewal,2,control,1.341268057,CS+,1.799,1,5
23,renewal,3,control,0.605805249,CS+,0.367,1,5
23,renewal,4,control,0.788035532,CS+,0.621,1,5
23,renewal,5,control,0.887130205,CS+,0.787,2,6
23,renewal,6,control,0,CS+,0,2,6
23,renewal,7,control,0,CS+,0,2,6
23,renewal,8,control,0,CS+,0,2,6
23,renewal,9,control,0,CS+,0,2,6
23,renewal,10,control,0,CS+,0,2,6
23,renewal,11,control,0,CS+,0,2,6
23,renewal,12,control,0,CS+,0,2,6
23,renewal,1,control,0.617251974,CS-,0.381,1,5
23,renewal,2,control,0,CS-,0,1,5
23,renewal,3,control,0,CS-,0,1,5
23,renewal,4,control,0,CS-,0,1,5
23,renewal,5,control,0,CS-,0,2,6
23,renewal,6,control,0,CS-,0,2,6
23,renewal,7,control,0,CS-,0,2,6
23,renewal,8,control,0,CS-,0,2,6
23,renewal,9,control,0.725947657,CS-,0.527,2,6
23,renewal,10,control,0,CS-,0,2,6
23,renewal,11,control,0,CS-,0,2,6
23,renewal,12,control,0,CS-,0,2,6
24,renewal,1,control,1.947049049,CS+,3.791,1,5
24,renewal,2,control,1.689082591,CS+,2.853,1,5
24,renewal,3,control,1.415273825,CS+,2.003,1,5
24,renewal,4,control,0,CS+,0,1,5
24,renewal,5,control,0.744983221,CS+,0.555,2,6
24,renewal,6,control,0,CS+,0,2,6
24,renewal,7,control,0,CS+,0,2,6
24,renewal,8,control,0,CS+,0,2,6
24,renewal,9,control,0,CS+,0,2,6
24,renewal,10,control,0,CS+,0,2,6
24,renewal,11,control,0,CS+,0,2,6
24,renewal,12,control,0,CS+,0,2,6
24,renewal,1,control,1.724238963,CS-,2.973,1,5
24,renewal,2,control,1.219426095,CS-,1.487,1,5
24,renewal,3,control,0.854400375,CS-,0.73,1,5
24,renewal,4,control,0,CS-,0,1,5
24,renewal,5,control,0.591607978,CS-,0.35,2,6
24,renewal,6,control,0,CS-,0,2,6
24,renewal,7,control,0,CS-,0,2,6
24,renewal,8,control,0,CS-,0,2,6
24,renewal,9,control,0,CS-,0,2,6
24,renewal,10,control,0,CS-,0,2,6
24,renewal,11,control,0,CS-,0,2,6
24,renewal,12,control,0,CS-,0,2,6
25,renewal,1,control,0,CS+,0,1,5
25,renewal,2,control,0,CS+,0,1,5
25,renewal,3,control,0,CS+,0,1,5
25,renewal,4,control,0,CS+,0,1,5
25,renewal,5,control,0,CS+,0,2,6
25,renewal,6,control,0,CS+,0,2,6
25,renewal,7,control,0,CS+,0,2,6
25,renewal,8,control,0,CS+,0,2,6
25,renewal,9,control,0,CS+,0,2,6
25,renewal,10,control,0,CS+,0,2,6
25,renewal,11,control,0,CS+,0,2,6
25,renewal,12,control,0,CS+,0,2,6
25,renewal,1,control,0,CS-,0,1,5
25,renewal,2,control,0,CS-,0,1,5
25,renewal,3,control,0,CS-,0,1,5
25,renewal,4,control,0,CS-,0,1,5
25,renewal,5,control,0,CS-,0,2,6
25,renewal,6,control,0,CS-,0,2,6
25,renewal,7,control,0,CS-,0,2,6
25,renewal,8,control,0,CS-,0,2,6
25,renewal,9,control,0,CS-,0,2,6
25,renewal,10,control,0,CS-,0,2,6
25,renewal,11,control,0,CS-,0,2,6
25,renewal,12,control,0,CS-,0,2,6
26,renewal,1,control,0.59749477,CS+,0.357,1,5
26,renewal,2,control,1.519210321,CS+,2.308,1,5
26,renewal,3,control,0,CS+,0,1,5
26,renewal,4,control,0,CS+,0,1,5
26,renewal,5,control,0,CS+,0,2,6
26,renewal,6,control,0,CS+,0,2,6
26,renewal,7,control,0,CS+,0,2,6
26,renewal,8,control,0,CS+,0,2,6
26,renewal,9,control,0,CS+,0,2,6
26,renewal,10,control,0,CS+,0,2,6
26,renewal,11,control,0,CS+,0,2,6
26,renewal,12,control,0,CS+,0,2,6
26,renewal,1,control,1.033440855,CS-,1.068,1,5
26,renewal,2,control,0,CS-,0,1,5
26,renewal,3,control,0,CS-,0,1,5
26,renewal,4,control,0,CS-,0,1,5
26,renewal,5,control,0,CS-,0,2,6
26,renewal,6,control,0,CS-,0,2,6
26,renewal,7,control,0,CS-,0,2,6
26,renewal,8,control,0,CS-,0,2,6
26,renewal,9,control,0,CS-,0,2,6
26,renewal,10,control,0,CS-,0,2,6
26,renewal,11,control,0,CS-,0,2,6
26,renewal,12,control,0,CS-,0,2,6
101,renewal,1,ptsd,1.016857906,CS+,1.034,1,5
101,renewal,2,ptsd,0.872926114,CS+,0.762,1,5
101,renewal,3,ptsd,0.934879671,CS+,0.874,1,5
101,renewal,4,ptsd,0.942867965,CS+,0.889,1,5
101,renewal,5,ptsd,0.803741252,CS+,0.646,2,6
101,renewal,6,ptsd,0.54405882,CS+,0.296,2,6
101,renewal,7,ptsd,0,CS+,0,2,6
101,renewal,8,ptsd,0.880908622,CS+,0.776,2,6
101,renewal,9,ptsd,0,CS+,0,2,6
101,renewal,10,ptsd,0,CS+,0,2,6
101,renewal,11,ptsd,0,CS+,0,2,6
101,renewal,12,ptsd,0,CS+,0,2,6
101,renewal,1,ptsd,0.906642157,CS-,0.822,1,5
101,renewal,2,ptsd,0,CS-,0,1,5
101,renewal,3,ptsd,0.594978991,CS-,0.354,1,5
101,renewal,4,ptsd,0.712741187,CS-,0.508,1,5
101,renewal,5,ptsd,0.633245608,CS-,0.401,2,6
101,renewal,6,ptsd,0,CS-,0,2,6
101,renewal,7,ptsd,0,CS-,0,2,6
101,renewal,8,ptsd,0,CS-,0,2,6
101,renewal,9,ptsd,0,CS-,0,2,6
101,renewal,10,ptsd,0,CS-,0,2,6
101,renewal,11,ptsd,0,CS-,0,2,6
101,renewal,12,ptsd,0,CS-,0,2,6
102,renewal,1,ptsd,0,CS+,0,1,5
102,renewal,2,ptsd,0,CS+,0,1,5
102,renewal,3,ptsd,0,CS+,0,1,5
102,renewal,4,ptsd,0,CS+,0,1,5
102,renewal,5,ptsd,0,CS+,0,2,6
102,renewal,6,ptsd,0,CS+,0,2,6
102,renewal,7,ptsd,0,CS+,0,2,6
102,renewal,8,ptsd,0,CS+,0,2,6
102,renewal,9,ptsd,0,CS+,0,2,6
102,renewal,10,ptsd,0,CS+,0,2,6
102,renewal,11,ptsd,0,CS+,0,2,6
102,renewal,12,ptsd,0,CS+,0,2,6
102,renewal,1,ptsd,0,CS-,0,1,5
102,renewal,2,ptsd,0,CS-,0,1,5
102,renewal,3,ptsd,0,CS-,0,1,5
102,renewal,4,ptsd,0,CS-,0,1,5
102,renewal,5,ptsd,0,CS-,0,2,6
102,renewal,6,ptsd,0,CS-,0,2,6
102,renewal,7,ptsd,0,CS-,0,2,6
102,renewal,8,ptsd,0,CS-,0,2,6
102,renewal,9,ptsd,0,CS-,0,2,6
102,renewal,10,ptsd,0,CS-,0,2,6
102,renewal,11,ptsd,0,CS-,0,2,6
102,renewal,12,ptsd,0,CS-,0,2,6
103,renewal,1,ptsd,0,CS+,0,1,5
103,renewal,2,ptsd,0,CS+,0,1,5
103,renewal,3,ptsd,0,CS+,0,1,5
103,renewal,4,ptsd,0,CS+,0,1,5
103,renewal,5,ptsd,0,CS+,0,2,6
103,renewal,6,ptsd,0,CS+,0,2,6
103,renewal,7,ptsd,0,CS+,0,2,6
103,renewal,8,ptsd,0,CS+,0,2,6
103,renewal,9,ptsd,0,CS+,0,2,6
103,renewal,10,ptsd,0,CS+,0,2,6
103,renewal,11,ptsd,0,CS+,0,2,6
103,renewal,12,ptsd,0,CS+,0,2,6
103,renewal,1,ptsd,0,CS-,0,1,5
103,renewal,2,ptsd,0,CS-,0,1,5
103,renewal,3,ptsd,0,CS-,0,1,5
103,renewal,4,ptsd,0,CS-,0,1,5
103,renewal,5,ptsd,0,CS-,0,2,6
103,renewal,6,ptsd,0,CS-,0,2,6
103,renewal,7,ptsd,0,CS-,0,2,6
103,renewal,8,ptsd,0,CS-,0,2,6
103,renewal,9,ptsd,0,CS-,0,2,6
103,renewal,10,ptsd,0,CS-,0,2,6
103,renewal,11,ptsd,0,CS-,0,2,6
103,renewal,12,ptsd,0,CS-,0,2,6
104,renewal,1,ptsd,0,CS+,0,1,5
104,renewal,2,ptsd,0.969020124,CS+,0.939,1,5
104,renewal,3,ptsd,1.113103769,CS+,1.239,1,5
104,renewal,4,ptsd,1.362350909,CS+,1.856,1,5
104,renewal,5,ptsd,1.21449578,CS+,1.475,2,6
104,renewal,6,ptsd,1.428285686,CS+,2.04,2,6
104,renewal,7,ptsd,1.554991961,CS+,2.418,2,6
104,renewal,8,ptsd,0.735527022,CS+,0.541,2,6
104,renewal,9,ptsd,0,CS+,0,2,6
104,renewal,10,ptsd,0,CS+,0,2,6
104,renewal,11,ptsd,1.345734,CS+,1.811,2,6
104,renewal,12,ptsd,0.655743852,CS+,0.43,2,6
104,renewal,1,ptsd,0,CS-,0,1,5
104,renewal,2,ptsd,0,CS-,0,1,5
104,renewal,3,ptsd,0.91760558,CS-,0.842,1,5
104,renewal,4,ptsd,0,CS-,0,1,5
104,renewal,5,ptsd,0,CS-,0,2,6
104,renewal,6,ptsd,0,CS-,0,2,6
104,renewal,7,ptsd,0,CS-,0,2,6
104,renewal,8,ptsd,0,CS-,0,2,6
104,renewal,9,ptsd,0,CS-,0,2,6
104,renewal,10,ptsd,0,CS-,0,2,6
104,renewal,11,ptsd,0,CS-,0,2,6
104,renewal,12,ptsd,0,CS-,0,2,6
105,renewal,1,ptsd,0,CS+,0,1,5
105,renewal,2,ptsd,0,CS+,0,1,5
105,renewal,3,ptsd,0,CS+,0,1,5
105,renewal,4,ptsd,0,CS+,0,1,5
105,renewal,5,ptsd,0,CS+,0,2,6
105,renewal,6,ptsd,0,CS+,0,2,6
105,renewal,7,ptsd,0,CS+,0,2,6
105,renewal,8,ptsd,0,CS+,0,2,6
105,renewal,9,ptsd,0,CS+,0,2,6
105,renewal,10,ptsd,0,CS+,0,2,6
105,renewal,11,ptsd,0,CS+,0,2,6
105,renewal,12,ptsd,0,CS+,0,2,6
105,renewal,1,ptsd,0,CS-,0,1,5
105,renewal,2,ptsd,0,CS-,0,1,5
105,renewal,3,ptsd,0,CS-,0,1,5
105,renewal,4,ptsd,0,CS-,0,1,5
105,renewal,5,ptsd,0,CS-,0,2,6
105,renewal,6,ptsd,0,CS-,0,2,6
105,renewal,7,ptsd,0,CS-,0,2,6
105,renewal,8,ptsd,0,CS-,0,2,6
105,renewal,9,ptsd,0,CS-,0,2,6
105,renewal,10,ptsd,0,CS-,0,2,6
105,renewal,11,ptsd,0,CS-,0,2,6
105,renewal,12,ptsd,0,CS-,0,2,6
106,renewal,1,ptsd,0.522494019,CS+,0.273,1,5
106,renewal,2,ptsd,0,CS+,0,1,5
106,renewal,3,ptsd,0.500999002,CS+,0.251,1,5
106,renewal,4,ptsd,0.629285309,CS+,0.396,1,5
106,renewal,5,ptsd,0.452769257,CS+,0.205,2,6
106,renewal,6,ptsd,0.526307895,CS+,0.277,2,6
106,renewal,7,ptsd,0,CS+,0,2,6
106,renewal,8,ptsd,0,CS+,0,2,6
106,renewal,9,ptsd,0,CS+,0,2,6
106,renewal,10,ptsd,0.531036722,CS+,0.282,2,6
106,renewal,11,ptsd,0,CS+,0,2,6
106,renewal,12,ptsd,0,CS+,0,2,6
106,renewal,1,ptsd,0.537587202,CS-,0.289,1,5
106,renewal,2,ptsd,0.642650761,CS-,0.413,1,5
106,renewal,3,ptsd,0.502991054,CS-,0.253,1,5
106,renewal,4,ptsd,0.457165178,CS-,0.209,1,5
106,renewal,5,ptsd,0,CS-,0,2,6
106,renewal,6,ptsd,0.748999332,CS-,0.561,2,6
106,renewal,7,ptsd,0.750333259,CS-,0.563,2,6
106,renewal,8,ptsd,0,CS-,0,2,6
106,renewal,9,ptsd,0,CS-,0,2,6
106,renewal,10,ptsd,0,CS-,0,2,6
106,renewal,11,ptsd,0,CS-,0,2,6
106,renewal,12,ptsd,0.493963561,CS-,0.244,2,6
107,renewal,1,ptsd,0,CS+,0,1,5
107,renewal,2,ptsd,0,CS+,0,1,5
107,renewal,3,ptsd,0,CS+,0,1,5
107,renewal,4,ptsd,0,CS+,0,1,5
107,renewal,5,ptsd,0,CS+,0,2,6
107,renewal,6,ptsd,0,CS+,0,2,6
107,renewal,7,ptsd,0,CS+,0,2,6
107,renewal,8,ptsd,0,CS+,0,2,6
107,renewal,9,ptsd,0,CS+,0,2,6
107,renewal,10,ptsd,0,CS+,0,2,6
107,renewal,11,ptsd,0,CS+,0,2,6
107,renewal,12,ptsd,0,CS+,0,2,6
107,renewal,1,ptsd,0,CS-,0,1,5
107,renewal,2,ptsd,0,CS-,0,1,5
107,renewal,3,ptsd,0,CS-,0,1,5
107,renewal,4,ptsd,0,CS-,0,1,5
107,renewal,5,ptsd,0,CS-,0,2,6
107,renewal,6,ptsd,0,CS-,0,2,6
107,renewal,7,ptsd,0,CS-,0,2,6
107,renewal,8,ptsd,0,CS-,0,2,6
107,renewal,9,ptsd,0,CS-,0,2,6
107,renewal,10,ptsd,0,CS-,0,2,6
107,renewal,11,ptsd,0,CS-,0,2,6
107,renewal,12,ptsd,0,CS-,0,2,6
108,renewal,1,ptsd,0.444971909,CS+,0.198,1,5
108,renewal,2,ptsd,0,CS+,0,1,5
108,renewal,3,ptsd,0.836660027,CS+,0.7,1,5
108,renewal,4,ptsd,0,CS+,0,1,5
108,renewal,5,ptsd,0,CS+,0,2,6
108,renewal,6,ptsd,0,CS+,0,2,6
108,renewal,7,ptsd,0,CS+,0,2,6
108,renewal,8,ptsd,0,CS+,0,2,6
108,renewal,9,ptsd,0,CS+,0,2,6
108,renewal,10,ptsd,0,CS+,0,2,6
108,renewal,11,ptsd,0,CS+,0,2,6
108,renewal,12,ptsd,0,CS+,0,2,6
108,renewal,1,ptsd,0.649615271,CS-,0.422,1,5
