subject,phase,trial,group,scr,condition,raw,half,quarter
108,renewal,2,ptsd,0,CS-,0,1,5
108,renewal,3,ptsd,0,CS-,0,1,5
108,renewal,4,ptsd,0,CS-,0,1,5
108,renewal,5,ptsd,0,CS-,0,2,6
108,renewal,6,ptsd,0,CS-,0,2,6
108,renewal,7,ptsd,0,CS-,0,2,6
108,renewal,8,ptsd,0,CS-,0,2,6
108,renewal,9,ptsd,0,CS-,0,2,6
108,renewal,10,ptsd,0,CS-,0,2,6
108,renewal,11,ptsd,0,CS-,0,2,6
108,renewal,12,ptsd,0,CS-,0,2,6
109,renewal,1,ptsd,0,CS+,0,1,5
109,renewal,2,ptsd,0,CS+,0,1,5
109,renewal,3,ptsd,0,CS+,0,1,5
109,renewal,4,ptsd,0,CS+,0,1,5
109,renewal,5,ptsd,0,CS+,0,2,6
109,renewal,6,ptsd,0,CS+,0,2,6
109,renewal,7,ptsd,0,CS+,0,2,6
109,renewal,8,ptsd,0,CS+,0,2,6
109,renewal,9,ptsd,0,CS+,0,2,6
109,renewal,10,ptsd,0,CS+,0,2,6
109,renewal,11,ptsd,0,CS+,0,2,6
109,renewal,12,ptsd,0,CS+,0,2,6
109,renewal,1,ptsd,0,CS-,0,1,5
109,renewal,2,ptsd,0,CS-,0,1,5
109,renewal,3,ptsd,0,CS-,0,1,5
109,renewal,4,ptsd,0,CS-,0,1,5
109,renewal,5,ptsd,0,CS-,0,2,6
109,renewal,6,ptsd,0,CS-,0,2,6
109,renewal,7,ptsd,0,CS-,0,2,6
109,renewal,8,ptsd,0,CS-,0,2,6
109,renewal,9,ptsd,0,CS-,0,2,6
109,renewal,10,ptsd,0,CS-,0,2,6
109,renewal,11,ptsd,0,CS-,0,2,6
109,renewal,12,ptsd,0,CS-,0,2,6
110,renewal,1,ptsd,0,CS+,0,1,5
110,renewal,2,ptsd,0,CS+,0,1,5
110,renewal,3,ptsd,0,CS+,0,1,5
110,renewal,4,ptsd,0,CS+,0,1,5
110,renewal,5,ptsd,0,CS+,0,2,6
110,renewal,6,ptsd,0,CS+,0,2,6
110,renewal,7,ptsd,0,CS+,0,2,6
110,renewal,8,ptsd,0,CS+,0,2,6
110,renewal,9,ptsd,0,CS+,0,2,6
110,renewal,10,ptsd,0,CS+,0,2,6
110,renewal,11,ptsd,0,CS+,0,2,6
110,renewal,12,ptsd,0,CS+,0,2,6
110,renewal,1,ptsd,0,CS-,0,1,5
110,renewal,2,ptsd,0,CS-,0,1,5
110,renewal,3,ptsd,0,CS-,0,1,5
110,renewal,4,ptsd,0,CS-,0,1,5
110,renewal,5,ptsd,0,CS-,0,2,6
110,renewal,6,ptsd,,CS-,,2,6
110,renewal,7,ptsd,0,CS-,0,2,6
110,renewal,8,ptsd,0,CS-,0,2,6
110,renewal,9,ptsd,0,CS-,0,2,6
110,renewal,10,ptsd,0,CS-,0,2,6
110,renewal,11,ptsd,0,CS-,0,2,6
110,renewal,12,ptsd,0,CS-,0,2,6
111,renewal,1,ptsd,0,CS+,0,1,5
111,renewal,2,ptsd,0,CS+,0,1,5
111,renewal,3,ptsd,0,CS+,0,1,5
111,renewal,4,ptsd,0.458257569,CS+,0.21,1,5
111,renewal,5,ptsd,0,CS+,0,2,6
111,renewal,6,ptsd,0,CS+,0,2,6
111,renewal,7,ptsd,0,CS+,0,2,6
111,renewal,8,ptsd,0,CS+,0,2,6
111,renewal,9,ptsd,0,CS+,0,2,6
111,renewal,10,ptsd,0,CS+,0,2,6
111,renewal,11,ptsd,0,CS+,0,2,6
111,renewal,12,ptsd,0,CS+,0,2,6
111,renewal,1,ptsd,0,CS-,0,1,5
111,renewal,2,ptsd,0.502991054,CS-,0.253,1,5
111,renewal,3,ptsd,0,CS-,0,1,5
111,renewal,4,ptsd,0.452769257,CS-,0.205,1,5
111,renewal,5,ptsd,0,CS-,0,2,6
111,renewal,6,ptsd,0.554977477,CS-,0.308,2,6
111,renewal,7,ptsd,0,CS-,0,2,6
111,renewal,8,ptsd,0,CS-,0,2,6
111,renewal,9,ptsd,0,CS-,0,2,6
111,renewal,10,ptsd,0,CS-,0,2,6
111,renewal,11,ptsd,0,CS-,0,2,6
111,renewal,12,ptsd,0,CS-,0,2,6
112,renewal,1,ptsd,0,CS+,0,1,5
112,renewal,2,ptsd,0,CS+,0,1,5
112,renewal,3,ptsd,0,CS+,0,1,5
112,renewal,4,ptsd,0.479583152,CS+,0.23,1,5
112,renewal,5,ptsd,0,CS+,0,2,6
112,renewal,6,ptsd,0,CS+,0,2,6
112,renewal,7,ptsd,0,CS+,0,2,6
112,renewal,8,ptsd,0,CS+,0,2,6
112,renewal,9,ptsd,0,CS+,0,2,6
112,renewal,10,ptsd,0,CS+,0,2,6
112,renewal,11,ptsd,0,CS+,0,2,6
112,renewal,12,ptsd,0,CS+,0,2,6
112,renewal,1,ptsd,0,CS-,0,1,5
112,renewal,2,ptsd,0,CS-,0,1,5
112,renewal,3,ptsd,0,CS-,0,1,5
112,renewal,4,ptsd,0,CS-,0,1,5
112,renewal,5,ptsd,0,CS-,0,2,6
112,renewal,6,ptsd,0,CS-,0,2,6
112,renewal,7,ptsd,0,CS-,0,2,6
112,renewal,8,ptsd,0,CS-,0,2,6
112,renewal,9,ptsd,,CS-,,2,6
112,renewal,10,ptsd,0.630872412,CS-,0.398,2,6
112,renewal,11,ptsd,0,CS-,0,2,6
112,renewal,12,ptsd,0,CS-,0,2,6
113,renewal,1,ptsd,0,CS+,0,1,5
113,renewal,2,ptsd,0,CS+,0,1,5
113,renewal,3,ptsd,0,CS+,0,1,5
113,renewal,4,ptsd,0,CS+,0,1,5
113,renewal,5,ptsd,,CS+,,2,6
113,renewal,6,ptsd,0,CS+,0,2,6
113,renewal,7,ptsd,0,CS+,0,2,6
113,renewal,8,ptsd,0,CS+,0,2,6
113,renewal,9,ptsd,0,CS+,0,2,6
113,renewal,10,ptsd,0,CS+,0,2,6
113,renewal,11,ptsd,0,CS+,0,2,6
113,renewal,12,ptsd,0,CS+,0,2,6
113,renewal,1,ptsd,0,CS-,0,1,5
113,renewal,2,ptsd,0,CS-,0,1,5
113,renewal,3,ptsd,0,CS-,0,1,5
113,renewal,4,ptsd,0,CS-,0,1,5
113,renewal,5,ptsd,0,CS-,0,2,6
113,renewal,6,ptsd,0,CS-,0,2,6
113,renewal,7,ptsd,0,CS-,0,2,6
113,renewal,8,ptsd,0,CS-,0,2,6
113,renewal,9,ptsd,0,CS-,0,2,6
113,renewal,10,ptsd,0,CS-,0,2,6
113,renewal,11,ptsd,0,CS-,0,2,6
113,renewal,12,ptsd,0,CS-,0,2,6
114,renewal,1,ptsd,0,CS+,0,1,5
114,renewal,2,ptsd,0,CS+,0,1,5
114,renewal,3,ptsd,0,CS+,0,1,5
114,renewal,4,ptsd,0,CS+,0,1,5
114,renewal,5,ptsd,0,CS+,0,2,6
114,renewal,6,ptsd,0,CS+,0,2,6
114,renewal,7,ptsd,0,CS+,0,2,6
114,renewal,8,ptsd,0,CS+,0,2,6
114,renewal,9,ptsd,0,CS+,0,2,6
114,renewal,10,ptsd,0,CS+,0,2,6
114,renewal,11,ptsd,0,CS+,0,2,6
114,renewal,12,ptsd,0,CS+,0,2,6
114,renewal,1,ptsd,0,CS-,0,1,5
114,renewal,2,ptsd,0,CS-,0,1,5
114,renewal,3,ptsd,0,CS-,0,1,5
114,renewal,4,ptsd,0,CS-,0,1,5
114,renewal,5,ptsd,0,CS-,0,2,6
114,renewal,6,ptsd,0,CS-,0,2,6
114,renewal,7,ptsd,0,CS-,0,2,6
114,renewal,8,ptsd,0,CS-,0,2,6
114,renewal,9,ptsd,0,CS-,0,2,6
114,renewal,10,ptsd,0,CS-,0,2,6
114,renewal,11,ptsd,0,CS-,0,2,6
114,renewal,12,ptsd,0,CS-,0,2,6
115,renewal,1,ptsd,1.050238068,CS+,1.103,1,5
115,renewal,2,ptsd,0.841427359,CS+,0.708,1,5
115,renewal,3,ptsd,0,CS+,0,1,5
115,renewal,4,ptsd,0,CS+,0,1,5
115,renewal,5,ptsd,0,CS+,0,2,6
115,renewal,6,ptsd,0,CS+,0,2,6
115,renewal,7,ptsd,0,CS+,0,2,6
115,renewal,8,ptsd,0,CS+,0,2,6
115,renewal,9,ptsd,0,CS+,0,2,6
115,renewal,10,ptsd,0,CS+,0,2,6
115,renewal,11,ptsd,0,CS+,0,2,6
115,renewal,12,ptsd,0,CS+,0,2,6
115,renewal,1,ptsd,0.525357021,CS-,0.276,1,5
115,renewal,2,ptsd,0,CS-,0,1,5
115,renewal,3,ptsd,0,CS-,0,1,5
115,renewal,4,ptsd,0,CS-,0,1,5
115,renewal,5,ptsd,0,CS-,0,2,6
115,renewal,6,ptsd,0,CS-,0,2,6
115,renewal,7,ptsd,0,CS-,0,2,6
115,renewal,8,ptsd,0,CS-,0,2,6
115,renewal,9,ptsd,0,CS-,0,2,6
115,renewal,10,ptsd,0,CS-,0,2,6
115,renewal,11,ptsd,0,CS-,0,2,6
115,renewal,12,ptsd,0,CS-,0,2,6
116,renewal,1,ptsd,1.472412986,CS+,2.168,1,5
116,renewal,2,ptsd,1.607482504,CS+,2.584,1,5
116,renewal,3,ptsd,1.991230775,CS+,3.965,1,5
116,renewal,4,ptsd,1.381303732,CS+,1.908,1,5
116,renewal,5,ptsd,0,CS+,0,2,6
116,renewal,6,ptsd,0.898331787,CS+,0.807,2,6
116,renewal,7,ptsd,0,CS+,0,2,6
116,renewal,8,ptsd,1.145425685,CS+,1.312,2,6
116,renewal,9,ptsd,0,CS+,0,2,6
116,renewal,10,ptsd,0,CS+,0,2,6
116,renewal,11,ptsd,0.91760558,CS+,0.842,2,6
116,renewal,12,ptsd,0,CS+,0,2,6
116,renewal,1,ptsd,1.974841766,CS-,3.9,1,5
116,renewal,2,ptsd,0,CS-,0,1,5
116,renewal,3,ptsd,1.680773631,CS-,2.825,1,5
116,renewal,4,ptsd,0,CS-,0,1,5
116,renewal,5,ptsd,1.362350909,CS-,1.856,2,6
116,renewal,6,ptsd,0,CS-,0,2,6
116,renewal,7,ptsd,0,CS-,0,2,6
116,renewal,8,ptsd,0,CS-,0,2,6
116,renewal,9,ptsd,0,CS-,0,2,6
116,renewal,10,ptsd,0,CS-,0,2,6
116,renewal,11,ptsd,0,CS-,0,2,6
116,renewal,12,ptsd,1.553061493,CS-,2.412,2,6
117,renewal,1,ptsd,1.148041811,CS+,1.318,1,5
117,renewal,2,ptsd,1.17940663,CS+,1.391,1,5
117,renewal,3,ptsd,0,CS+,0,1,5
117,renewal,4,ptsd,0,CS+,0,1,5
117,renewal,5,ptsd,0,CS+,0,2,6
117,renewal,6,ptsd,0,CS+,0,2,6
117,renewal,7,ptsd,0,CS+,0,2,6
117,renewal,8,ptsd,0,CS+,0,2,6
117,renewal,9,ptsd,0,CS+,0,2,6
117,renewal,10,ptsd,0,CS+,0,2,6
117,renewal,11,ptsd,0,CS+,0,2,6
117,renewal,12,ptsd,0,CS+,0,2,6
117,renewal,1,ptsd,0.712741187,CS-,0.508,1,5
117,renewal,2,ptsd,0,CS-,0,1,5
117,renewal,3,ptsd,0,CS-,0,1,5
117,renewal,4,ptsd,0,CS-,0,1,5
117,renewal,5,ptsd,0,CS-,0,2,6
117,renewal,6,ptsd,0,CS-,0,2,6
117,renewal,7,ptsd,0,CS-,0,2,6
117,renewal,8,ptsd,0,CS-,0,2,6
117,renewal,9,ptsd,0,CS-,0,2,6
117,renewal,10,ptsd,0,CS-,0,2,6
117,renewal,11,ptsd,0,CS-,0,2,6
117,renewal,12,ptsd,0,CS-,0,2,6
118,renewal,1,ptsd,1.644992401,CS+,2.706,1,5
118,renewal,2,ptsd,0.987927123,CS+,0.976,1,5
118,renewal,3,ptsd,1.017840852,CS+,1.036,1,5
118,renewal,4,ptsd,0,CS+,0,1,5
118,renewal,5,ptsd,1.694107435,CS+,2.87,2,6
118,renewal,6,ptsd,0,CS+,0,2,6
118,renewal,7,ptsd,0,CS+,0,2,6
118,renewal,8,ptsd,0.704982269,CS+,0.497,2,6
118,renewal,9,ptsd,0.777174369,CS+,0.604,2,6
118,renewal,10,ptsd,0,CS+,0,2,6
118,renewal,11,ptsd,0,CS+,0,2,6
118,renewal,12,ptsd,0.439317653,CS+,0.193,2,6
118,renewal,1,ptsd,0.890505474,CS-,0.793,1,5
118,renewal,2,ptsd,0,CS-,0,1,5
118,renewal,3,ptsd,0,CS-,0,1,5
118,renewal,4,ptsd,0,CS-,0,1,5
118,renewal,5,ptsd,0.581377674,CS-,0.338,2,6
118,renewal,6,ptsd,0,CS-,0,2,6
118,renewal,7,ptsd,0,CS-,0,2,6
118,renewal,8,ptsd,0,CS-,0,2,6
118,renewal,9,ptsd,0,CS-,0,2,6
118,renewal,10,ptsd,0,CS-,0,2,6
118,renewal,11,ptsd,0.550454358,CS-,0.303,2,6
118,renewal,12,ptsd,0,CS-,0,2,6
120,renewal,1,ptsd,0,CS+,0,1,5
120,renewal,2,ptsd,0,CS+,0,1,5
120,renewal,3,ptsd,0,CS+,0,1,5
120,renewal,4,ptsd,0,CS+,0,1,5
120,renewal,5,ptsd,0,CS+,0,2,6
120,renewal,6,ptsd,0,CS+,0,2,6
120,renewal,7,ptsd,0,CS+,0,2,6
120,renewal,8,ptsd,0,CS+,0,2,6
120,renewal,9,ptsd,0,CS+,0,2,6
120,renewal,10,ptsd,0,CS+,0,2,6
120,renewal,11,ptsd,0,CS+,0,2,6
120,renewal,12,ptsd,0,CS+,0,2,6
120,renewal,1,ptsd,0,CS-,0,1,5
120,renewal,2,ptsd,0,CS-,0,1,5
120,renewal,3,ptsd,0,CS-,0,1,5
120,renewal,4,ptsd,0,CS-,0,1,5
120,renewal,5,ptsd,0,CS-,0,2,6
120,renewal,6,ptsd,0,CS-,0,2,6
120,renewal,7,ptsd,0,CS-,0,2,6
120,renewal,8,ptsd,0,CS-,0,2,6
120,renewal,9,ptsd,0,CS-,0,2,6
120,renewal,10,ptsd,0,CS-,0,2,6
120,renewal,11,ptsd,0,CS-,0,2,6
120,renewal,12,ptsd,0,CS-,0,2,6
121,renewal,1,ptsd,1.120267825,CS+,1.255,1,5
121,renewal,2,ptsd,1.216552506,CS+,1.48,1,5
121,renewal,3,ptsd,1.141928194,CS+,1.304,1,5
121,renewal,4,ptsd,1.114450537,CS+,1.242,1,5
121,renewal,5,ptsd,1.009455299,CS+,1.019,2,6
121,renewal,6,ptsd,0.819756061,CS+,0.672,2,6
121,renewal,7,ptsd,0.646529195,CS+,0.418,2,6
121,renewal,8,ptsd,0.758946638,CS+,0.576,2,6
121,renewal,9,ptsd,0,CS+,0,2,6
121,renewal,10,ptsd,1.001998004,CS+,1.004,2,6
121,renewal,11,ptsd,0.619677335,CS+,0.384,2,6
121,renewal,12,ptsd,0,CS+,0,2,6
121,renewal,1,ptsd,0,CS-,0,1,5
121,renewal,2,ptsd,0.626099034,CS-,0.392,1,5
121,renewal,3,ptsd,1.193733639,CS-,1.425,1,5
121,renewal,4,ptsd,0.900555384,CS-,0.811,1,5
121,renewal,5,ptsd,1.03247276,CS-,1.066,2,6
121,renewal,6,ptsd,1.089495296,CS-,1.187,2,6
121,renewal,7,ptsd,0.977241014,CS-,0.955,2,6
121,renewal,8,ptsd,0.554977477,CS-,0.308,2,6
121,renewal,9,ptsd,0,CS-,0,2,6
121,renewal,10,ptsd,0.932201695,CS-,0.869,2,6
121,renewal,11,ptsd,0,CS-,0,2,6
121,renewal,12,ptsd,0.86890736,CS-,0.755,2,6
122,renewal,1,ptsd,1.276322843,CS+,1.629,1,5
122,renewal,2,ptsd,1.236931688,CS+,1.53,1,5
122,renewal,3,ptsd,0,CS+,0,1,5
122,renewal,4,ptsd,1.051665346,CS+,1.106,1,5
122,renewal,5,ptsd,0,CS+,0,2,6
122,renewal,6,ptsd,0,CS+,0,2,6
122,renewal,7,ptsd,0,CS+,0,2,6
122,renewal,8,ptsd,0,CS+,0,2,6
122,renewal,9,ptsd,0,CS+,0,2,6
122,renewal,10,ptsd,0,CS+,0,2,6
122,renewal,11,ptsd,0,CS+,0,2,6
122,renewal,12,ptsd,0,CS+,0,2,6
122,renewal,1,ptsd,0.969020124,CS-,0.939,1,5
122,renewal,2,ptsd,0,CS-,0,1,5
122,renewal,3,ptsd,0,CS-,0,1,5
122,renewal,4,ptsd,0,CS-,0,1,5
122,renewal,5,ptsd,0,CS-,0,2,6
122,renewal,6,ptsd,0,CS-,0,2,6
122,renewal,7,ptsd,0,CS-,0,2,6
122,renewal,8,ptsd,0,CS-,0,2,6
122,renewal,9,ptsd,0,CS-,0,2,6
122,renewal,10,ptsd,0,CS-,0,2,6
122,renewal,11,ptsd,0,CS-,0,2,6
122,renewal,12,ptsd,0,CS-,0,2,6
123,renewal,1,ptsd,0.602494813,CS+,0.363,1,5
123,renewal,2,ptsd,0,CS+,0,1,5
123,renewal,3,ptsd,0,CS+,0,1,5
123,renewal,4,ptsd,0,CS+,0,1,5
123,renewal,5,ptsd,0,CS+,0,2,6
123,renewal,6,ptsd,0.523450093,CS+,0.274,2,6
123,renewal,7,ptsd,0,CS+,0,2,6
123,renewal,8,ptsd,0,CS+,0,2,6
123,renewal,9,ptsd,0,CS+,0,2,6
123,renewal,10,ptsd,0,CS+,0,2,6
123,renewal,11,ptsd,0,CS+,0,2,6
123,renewal,12,ptsd,0,CS+,0,2,6
123,renewal,1,ptsd,0,CS-,0,1,5
123,renewal,2,ptsd,0.699285349,CS-,0.489,1,5
123,renewal,3,ptsd,0,CS-,0,1,5
123,renewal,4,ptsd,0,CS-,0,1,5
123,renewal,5,ptsd,0,CS-,0,2,6
123,renewal,6,ptsd,0,CS-,0,2,6
123,renewal,7,ptsd,0,CS-,0,2,6
123,renewal,8,ptsd,0,CS-,0,2,6
123,renewal,9,ptsd,0,CS-,0,2,6
123,renewal,10,ptsd,0,CS-,0,2,6
123,renewal,11,ptsd,0,CS-,0,2,6
123,renewal,12,ptsd,0,CS-,0,2,6
124,renewal,1,ptsd,1.105893304,CS+,1.223,1,5
124,renewal,2,ptsd,0.907193474,CS+,0.823,1,5
124,renewal,3,ptsd,1.020784012,CS+,1.042,1,5
124,renewal,4,ptsd,0.845576726,CS+,0.715,1,5
124,renewal,5,ptsd,0,CS+,0,2,6
124,renewal,6,ptsd,0,CS+,0,2,6
124,renewal,7,ptsd,0,CS+,0,2,6
124,renewal,8,ptsd,0,CS+,0,2,6
124,renewal,9,ptsd,0,CS+,0,2,6
124,renewal,10,ptsd,0,CS+,0,2,6
124,renewal,11,ptsd,0,CS+,0,2,6
124,renewal,12,ptsd,0,CS+,0,2,6
124,renewal,1,ptsd,1.137101579,CS-,1.293,1,5
124,renewal,2,ptsd,0.977241014,CS-,0.955,1,5
124,renewal,3,ptsd,0.890505474,CS-,0.793,1,5
124,renewal,4,ptsd,0,CS-,0,1,5
124,renewal,5,ptsd,0,CS-,0,2,6
124,renewal,6,ptsd,0.522494019,CS-,0.273,2,6
124,renewal,7,ptsd,0,CS-,0,2,6
124,renewal,8,ptsd,0.563914887,CS-,0.318,2,6
124,renewal,9,ptsd,0,CS-,0,2,6
124,renewal,10,ptsd,0,CS-,0,2,6
124,renewal,11,ptsd,0,CS-,0,2,6
124,renewal,12,ptsd,0,CS-,0,2,6
125,renewal,1,ptsd,0,CS+,0,1,5
125,renewal,2,ptsd,1.250599856,CS+,1.564,1,5
125,renewal,3,ptsd,1.122942563,CS+,1.261,1,5
125,renewal,4,ptsd,1.011434625,CS+,1.023,1,5
125,renewal,5,ptsd,0,CS+,0,2,6
125,renewal,6,ptsd,0,CS+,0,2,6
125,renewal,7,ptsd,0,CS+,0,2,6
125,renewal,8,ptsd,0,CS+,0,2,6
125,renewal,9,ptsd,0,CS+,0,2,6
125,renewal,10,ptsd,0,CS+,0,2,6
125,renewal,11,ptsd,0,CS+,0,2,6
125,renewal,12,ptsd,0,CS+,0,2,6
125,renewal,1,ptsd,0.897217922,CS-,0.805,1,5
125,renewal,2,ptsd,0,CS-,0,1,5
125,renewal,3,ptsd,0,CS-,0,1,5
125,renewal,4,ptsd,0,CS-,0,1,5
125,renewal,5,ptsd,0,CS-,0,2,6
125,renewal,6,ptsd,0,CS-,0,2,6
125,renewal,7,ptsd,0,CS-,0,2,6
125,renewal,8,ptsd,0,CS-,0,2,6
125,renewal,9,ptsd,0,CS-,0,2,6
125,renewal,10,ptsd,0,CS-,0,2,6
125,renewal,11,ptsd,0,CS-,0,2,6
125,renewal,12,ptsd,0,CS-,0,2,6